会員ID,登録エリア,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,その他,福井県内での交通手段ALL,自家用車,レンタカー,タクシー,在来線,旅行会社ツアーバス,路線バス,徒歩,レンタサイクル,その他,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,その他,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,アンケート回答前に訪問した主な場所FA,エリア総消費額,満足度(商品・サービス),満足度(商品・サービス)の理由,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの
100064,web,女,1968,58,50代,福井県,越前市,300万円以上 400万円未満,mobile/iphone,2026-06-24 23:30:42,6月,福井駅前 エリア（宿泊施設）,02.福井駅前 エリア（宿泊施設）,福井市,福井市・永平寺町,,1泊,1泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,友人,"宿でのんびり過ごす
温泉や露天風呂
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",0,0,0,0,0,0,1,0,"在来線
",0,0,0,1,0,0,0,0,0,満足,スムーズに来れました。,"5,000円以上 10,000円未満","1,000円未満","1,000円以上 3,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",とても満足,"きれいな宿泊地で満足しました。
温泉も満足です。アイスとラーメンもサービスは凄いです。",とても満足,キレイな宿泊地でした。,感じなかった,,7,キャンペーンでポイントもらったので助かりました。,,福井県在住,ワンコインなど手軽に入れるお店がいいです。
203901,福井駅前 エリア（宿泊施設）,男,1984,42,40代,岐阜県,岐阜市,800万円以上 900万円未満,mobile/android,2026-06-24 22:52:54,6月,福井駅前 エリア（宿泊施設）,02.福井駅前 エリア（宿泊施設）,福井市,福井市・永平寺町,,2泊,2泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,小学生以下連れの家族,"温泉や露天風呂
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,とても満足,福井綺麗な町でした,"20,000円以上 30,000円未満","20,000円以上 30,000円未満","10,000円以上 20,000円未満",2～5回目,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,越前大仏,,北の庄城址・柴田公園,,"5,000円以上 10,000円未満",とても満足,,とても満足,,感じなかった,,9,,,また行きたい（1年以内）,
203898,道の駅みくに ふれあいパーク三里浜 エリア,女,1987,39,30代,京都府,舞鶴市,"1,000万円以上 1,200万円未満",mobile/iphone,2026-06-24 22:16:39,6月,道の駅みくに ふれあいパーク三里浜 エリア,15.道の駅みくに ふれあいパーク三里浜 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,小学生以下連れの家族,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"1,000円以上 3,000円未満",使わない,"3,000円以上 5,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,福井県児童科学館,越前松島水族館,,"1,000円以上 3,000円未満",満足,フロントスタッフの方の対応がとても親切で、気持ち良く手続きができた。,満足,大浴場、客室の清掃やお手入れが行き届いていたから。フロントの花が綺麗だった。,感じなかった,,8,,,機会があれば行きたい,
118556,まちの駅 こってコテいけだ エリア,女,1995,31,30代,福井県,越前市,分からない/無回答,mobile/iphone,2026-06-24 22:07:58,6月,三国湊 エリア,09.三国湊 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,友人,"その他スポーツ（ゴルフ、テニスなど）
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"在来線
",0,0,0,1,0,0,0,0,0,どちらでもない,えちぜん鉄道の本数がすくなかったです。終電が少し早いと思いました。,"1,000円以上 3,000円未満","1,000円以上 3,000円未満","1,000円以上 3,000円未満",6～10回目,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,とても満足,夜の三国のまちなかの景色がきれいでした。,感じた,終電が早かったです。,10,,,福井県在住,
203897,道の駅みくに ふれあいパーク三里浜 エリア,女,1973,53,50代,京都府,向日市,400万円以上 500万円未満,mobile/iphone,2026-06-24 21:30:24,6月,道の駅みくに ふれあいパーク三里浜 エリア,15.道の駅みくに ふれあいパーク三里浜 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,夫婦2人,"宿でのんびり過ごす
温泉や露天風呂
地元の美味しいものを食べる
まちあるき、都市散策
ドライブ・ツーリング
",1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,とても満足,,"10,000円以上 20,000円未満","3,000円以上 5,000円未満","10,000円以上 20,000円未満",2～5回目,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ふれあいパーク三里浜(道の駅「みくに」),河野の辺りと福井新港で海を見ました,道の駅「南えちぜん山海里」,海沿いで休憩しながら道の駅巡りをしたいです,"1,000円以上 3,000円未満",とても満足,のんびり感がとても心地よいです,とても満足,"特に温泉が、柔らかくて
大満足です",感じなかった,,8,"自然の中で
ゆっくりとした時間を過ごせると
思いました","ラウンジで
おいしいコーヒーを頂けるので
甘いものがあるとさらに
嬉しいです
",また行きたい（1年以内）,"福井県の食べ物もお土産も
蕎麦打ちなども毎回大満足です
他府県からですが
ちょこちょこお邪魔しています
"
203896,web,男,1984,42,40代,兵庫県,加古川市,"1,000万円以上 1,200万円未満",tablet/ipad,2026-06-24 21:12:58,6月,若狭高浜 エリア,90.若狭高浜 エリア,高浜町,嶺南西部,,4泊以上,4泊以上,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,自分ひとり,"宿でのんびり過ごす
スキー・スノボ、マリンスポーツ
出張など仕事関係
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"自家用車
在来線
",1,0,0,1,0,0,0,0,"自家用車
在来線
",1,0,0,1,0,0,0,0,0,不満,JR小浜線の運行本数が極端に少なく、若狭地区に公共交通機関で行きにくい,"100,000円以上","5,000円以上 10,000円未満","50,000円以上 100,000円未満",2～5回目,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,若狭和田ビーチ,,選択なし/該当施設なし,ハピライン福井駅周辺(ハピリンなど),"50,000円以上 100,000円未満",とても満足,,どちらでもない,まだ高浜町エリア、近隣地区を周遊しきれていないので、今後楽しみにしています。,感じた,JR小浜線の運行本数が少ないため、嶺北方面に非常に行きにくい。特に小浜以西。嶺北は九頭龍、東尋坊など訪問したいエリアが多いが、交通の問題により訪問できていない。交通の便が改善されることを強く願っています。,10,"福井の地酒は特に勧めたい。
5月に福井駅に訪れた時に、ハピリンふくいで購入した福井の地酒を、土産として持ち帰ったところ、非常に美味しいと好評。また種類も多いので色々な酒を堪能したい。",若狭地区の海は断崖絶壁の景勝地が多く、マリンアクティビティ(特にシーカヤック)を楽しむのに最適と思う。しかし、SUP体験などを実施しているところは多いが、シーカヤックをしているところは見当たらない。若狭の地形を生かしたマリンアクティビティの開拓を進めてはいかがですか？,また行きたい（1年以内）,
203864,名勝 養浩館庭園 エリア,女,1970,56,50代,東京都,杉並区,300万円以上 400万円未満,mobile/android,2026-06-24 21:08:44,6月,大本山 永平寺 エリア,34.大本山 永平寺 エリア,永平寺町,福井市・永平寺町,,2泊,2泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,親,"まちあるき、都市散策
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"新幹線
",0,0,1,0,0,0,0,0,"路線バス
",0,0,0,0,0,1,0,0,0,不満,バスの本数が少ない,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",初めて,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,大本山永平寺,,選択なし/該当施設なし,,"5,000円以上 10,000円未満",満足,割引券がもらえたから。,満足,,感じた,交通の便,7,,施設がまとまったイメージ,どちらともいえない,いいとこ、掘りだくさんキャンペーンやっていても使える店が少なく不便だった。
203894,かずら橋 エリア,男,1965,61,60代,京都府,京都市伏見区,500万円以上 600万円未満,mobile/iphone,2026-06-24 20:02:51,6月,かずら橋 エリア,48.かずら橋 エリア,池田町,丹南,（一財）いけだ農村観光公社,1泊,福井県内には宿泊しない,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,恋人,"温泉や露天風呂
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,満足,,"5,000円以上 10,000円未満","1,000円以上 3,000円未満","1,000円以上 3,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,,使わない,満足,,満足,,感じなかった,,8,,,また行きたい（1年以内）,
203891,越前そばの里 エリア,男,1972,54,50代,福井県,鯖江市,分からない/無回答,mobile/iphone,2026-06-24 19:49:49,6月,越前そばの里 エリア,37.越前そばの里 エリア,越前市,丹南,,2泊,1泊,福井エリア（福井市・永平寺町）,石川県金沢市,夫婦2人,"宿でのんびり過ごす
温泉や露天風呂
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,とても満足,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",2～5回目,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,越前和紙の里,,選択なし/該当施設なし,,"10,000円以上 20,000円未満",とても満足,,とても満足,,感じなかった,,5,,,,
203892,越前そばの里 エリア,女,1994,32,30代,福井県,鯖江市,分からない/無回答,mobile/iphone,2026-06-24 19:48:55,6月,越前そばの里 エリア,37.越前そばの里 エリア,越前市,丹南,,日帰り,4泊以上,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,滋賀県,夫婦2人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,とても満足,,"5,000円以上 10,000円未満","1,000円未満","3,000円以上 5,000円未満",2～5回目,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,,"10,000円以上 20,000円未満",とても満足,,とても満足,,感じなかった,,5,,,,
